pricing_model,ai_band,n,loss_rate
fixed,0-20%,303,0.29372937293729373
fixed,20-40%,401,0.19950124688279303
fixed,40-60%,296,0.13513513513513514
fixed,60-80%,134,0.08208955223880597
fixed,80-100%,19,0.05263157894736842
hourly,0-20%,365,0.36164383561643837
hourly,20-40%,526,0.34790874524714827
hourly,40-60%,395,0.3139240506329114
hourly,60-80%,174,0.2471264367816092
hourly,80-100%,22,0.2727272727272727
value_based,0-20%,110,0.18181818181818182
value_based,20-40%,142,0.13380281690140844
value_based,40-60%,121,0.0743801652892562
value_based,60-80%,42,0.07142857142857142
