seniority,ai_band,n,avg_outcome,avg_margin,avg_rework
junior,0-20%,172,67.1845061728395,0.23268545718247208,0.19631362150284315
junior,20-40%,397,66.0062015503876,0.2908819443056488,0.2188122589051716
junior,40-60%,332,66.10588607594937,0.3994108437602977,0.25344839957024645
junior,60-80%,186,67.46242774566474,0.4002021307003419,0.30559253745275144
junior,80-100%,30,63.81586206896552,0.27832550430487574,0.39925756714034666
mid,0-20%,334,68.53837423312883,0.17745743466629757,0.17602694536701557
mid,20-40%,427,69.98763092269327,0.07680947560182613,0.2171220731038254
mid,40-60%,322,70.76667731629394,0.21398920242951394,0.25665657980998946
mid,60-80%,124,68.33781512605042,0.1837177098418495,0.32894856885982404
mid,80-100%,15,62.99666666666667,0.25485417639695984,0.3007990253581903
senior,0-20%,272,70.7904296875,-0.19444923379165302,0.20531674417500803
senior,20-40%,245,71.04673640167363,-0.1571256121730486,0.21773561558963156
senior,40-60%,158,73.89675496688741,-0.009596280972978877,0.2825138589641702
senior,60-80%,40,70.39820512820513,-0.10801119703832293,0.37238257577878614
